PSA_Id,Domain,English,Kiswahili,Dholuo,English_tokens,Kiswahili_tokens,Dholuo_tokens,English_token_count,Kiswahili_token_count,Dholuo_token_count,Kiswahili_borrowed_terms,Dholuo_borrowed_terms,Kiswahili_has_codeswitch,Dholuo_has_codeswitch,English_word_count,Kiswahili_word_count,Dholuo_word_count,ratio_kis_eng,ratio_dho_eng,ratio_dho_kis,Dholuo_has_repeat_loop
3513,Agriculture,Farmers growing tea are advised to watch out for flooding this season.,Wakulima wanaolima chai washauriwa kuchunga mafuriko msimu huu.,Jopur ma pidho chai ipuonjogi mondo gibed gi ritruok kuom pi ma pong'o piny e kindeni.,"['Farmers', 'growing', 'tea', 'are', 'advised', 'to', 'watch', 'out', 'for', 'flooding', 'this', 'season', '.']","['Wakulima', 'wanaolima', 'chai', 'washauriwa', 'kuchunga', 'mafuriko', 'msimu', 'huu', '.']","['Jopur', 'ma', 'pidho', 'chai', 'ipuonjogi', 'mondo', 'gibed', 'gi', 'ritruok', 'kuom', 'pi', 'ma', 'pong', ""'"", 'o', 'piny', 'e', 'kindeni', '.']",13,9,19,[],[],False,False,12,8,16,0.6666666666666666,1.3333333333333333,2.0,False
4659,Security & Safety,"During mass gatherings, always keep emergency contacts on hand in case of disease outbreaks.","Wakati wa mikusanyiko mikubwa, weka nambari za dharura karibu endapo kutakuwa na milipuko ya magonjwa.","E kinde mag chokruok mag ji mang'eny, kinde duto bed gi jogo ma inyalo tudorego mapiyo kapo ni tuoche moko owuok.","['During', 'mass', 'gatherings', ',', 'always', 'keep', 'emergency', 'contacts', 'on', 'hand', 'in', 'case', 'of', 'disease', 'outbreaks', '.']","['Wakati', 'wa', 'mikusanyiko', 'mikubwa', ',', 'weka', 'nambari', 'za', 'dharura', 'karibu', 'endapo', 'kutakuwa', 'na', 'milipuko', 'ya', 'magonjwa', '.']","['E', 'kinde', 'mag', 'chokruok', 'mag', 'ji', 'mang', ""'"", 'eny', ',', 'kinde', 'duto', 'bed', 'gi', 'jogo', 'ma', 'inyalo', 'tudorego', 'mapiyo', 'kapo', 'ni', 'tuoche', 'moko', 'owuok', '.']",16,17,25,[],[],False,False,14,15,21,1.0714285714285714,1.5,1.4,False
2720,Governance,Kenya Forest Services (KFS) urges citizens to record trees planted on the Jaza Miti app,Huduma za Misitu Kenya (KFS) zawahimiza raia kurekodi miti iliyopandwa kwenye programu ya Jaza Miti,Riwruok mar bunge e piny Kenya jiwo raia mondo ondik yien ma gipidho e chenro mar Yaza Miti,"['Kenya', 'Forest', 'Services', '(', 'KFS', ')', 'urges', 'citizens', 'to', 'record', 'trees', 'planted', 'on', 'the', 'Jaza', 'Miti', 'app']","['Huduma', 'za', 'Misitu', 'Kenya', '(', 'KFS', ')', 'zawahimiza', 'raia', 'kurekodi', 'miti', 'iliyopandwa', 'kwenye', 'programu', 'ya', 'Jaza', 'Miti']","['Riwruok', 'mar', 'bunge', 'e', 'piny', 'Kenya', 'jiwo', 'raia', 'mondo', 'ondik', 'yien', 'ma', 'gipidho', 'e', 'chenro', 'mar', 'Yaza', 'Miti']",17,17,18,"['Jaza', 'KFS', 'Miti', 'Kenya']","['Miti', 'Kenya']",True,True,15,15,18,1.0,1.2,1.2,False
539,Education,Read anywhere! Access mobile libraries in rural areas.,Soma popote! Fikia maktaba za simu katika maeneo ya vijijini.,Som kamoro amora! Bed gi thuolo mar dhi e laibrari kuonde ma ji mang'eny odakie.,"['Read', 'anywhere', '!', 'Access', 'mobile', 'libraries', 'in', 'rural', 'areas', '.']","['Soma', 'popote', '!', 'Fikia', 'maktaba', 'za', 'simu', 'katika', 'maeneo', 'ya', 'vijijini', '.']","['Som', 'kamoro', 'amora', '!', 'Bed', 'gi', 'thuolo', 'mar', 'dhi', 'e', 'laibrari', 'kuonde', 'ma', 'ji', 'mang', ""'"", 'eny', 'odakie', '.']",10,12,19,[],[],False,False,8,10,15,1.25,1.875,1.5,False
1901,Security & Safety,Enable 'Find My Device' on phones to track them if lost or stolen.,Washa 'Tafuta Kifaa Changu' kwenye simu ili kuzifuatilia ikiwa zitapotea au kuibiwa.,Ti kod 'Find My Device' e simo mondo omanygo simu molal kata mokwal,"['Enable', ""'Find"", 'My', 'Device', ""'"", 'on', 'phones', 'to', 'track', 'them', 'if', 'lost', 'or', 'stolen', '.']","['Washa', ""'Tafuta"", 'Kifaa', 'Changu', ""'"", 'kwenye', 'simu', 'ili', 'kuzifuatilia', 'ikiwa', 'zitapotea', 'au', 'kuibiwa', '.']","['Ti', 'kod', ""'"", 'Find', 'My', 'Device', ""'"", 'e', 'simo', 'mondo', 'omanygo', 'simu', 'molal', 'kata', 'mokwal']",15,14,15,[],"['Find', 'Device', 'My']",False,True,13,12,13,0.9230769230769231,1.0,1.0833333333333333,False
4423,Security & Safety,Stay informed on disease outbreak alerts and follow school safety protocols to keep your family safe.,Endelea kufahamishwa kuhusu tahadhari za milipuko ya magonjwa na ufuate kanuni za usalama shuleni kuweka familia yako salama.,Bed gi ng'eyo matut kuom weche mag tuoche kendo luwo chike mag arita mag skul mondo orit joodu maber.,"['Stay', 'informed', 'on', 'disease', 'outbreak', 'alerts', 'and', 'follow', 'school', 'safety', 'protocols', 'to', 'keep', 'your', 'family', 'safe', '.']","['Endelea', 'kufahamishwa', 'kuhusu', 'tahadhari', 'za', 'milipuko', 'ya', 'magonjwa', 'na', 'ufuate', 'kanuni', 'za', 'usalama', 'shuleni', 'kuweka', 'familia', 'yako', 'salama', '.']","['Bed', 'gi', 'ng', ""'"", 'eyo', 'matut', 'kuom', 'weche', 'mag', 'tuoche', 'kendo', 'luwo', 'chike', 'mag', 'arita', 'mag', 'skul', 'mondo', 'orit', 'joodu', 'maber', '.']",17,19,22,[],[],False,False,16,18,19,1.125,1.1875,1.0555555555555556,False
972,Health,"Swollen feet, thin limbs, or constant fatigue in a child may be signs of malnutrition. Seek help immediately.","Miguu iliyovimba, miguu myembamba, au uchovu wa kila mara kwa mtoto inaweza kuwa dalili za utapiamlo. Tafuta msaada mara moja.","Tiend nyathi ma nigi tuwo mar ndulme, tiendene kod tiendene ma nyosore, kata ma ool pile, nyalo nyiso ni ok ochiem maber. Dwar kony mapiyo.","['Swollen', 'feet', ',', 'thin', 'limbs', ',', 'or', 'constant', 'fatigue', 'in', 'a', 'child', 'may', 'be', 'signs', 'of', 'malnutrition', '.', 'Seek', 'help', 'immediately', '.']","['Miguu', 'iliyovimba', ',', 'miguu', 'myembamba', ',', 'au', 'uchovu', 'wa', 'kila', 'mara', 'kwa', 'mtoto', 'inaweza', 'kuwa', 'dalili', 'za', 'utapiamlo', '.', 'Tafuta', 'msaada', 'mara', 'moja', '.']","['Tiend', 'nyathi', 'ma', 'nigi', 'tuwo', 'mar', 'ndulme', ',', 'tiendene', 'kod', 'tiendene', 'ma', 'nyosore', ',', 'kata', 'ma', 'ool', 'pile', ',', 'nyalo', 'nyiso', 'ni', 'ok', 'ochiem', 'maber', '.', 'Dwar', 'kony', 'mapiyo', '.']",22,24,30,[],[],False,False,18,20,25,1.1111111111111112,1.3888888888888888,1.25,False
4025,Education,"As part of improving vocational training college, parents are asked to support active class participation at home.","Kama sehemu ya kuboresha chuo cha mafunzo ya ufundi, wazazi wanaombwa kusaidia kushiriki kikamilifu darasani nyumbani.","Kaka achiel kuom yore mag bero kolej mar puonjruok mar tich, jonyuol ikwayo mondo ochung' ne puonjruok mar bedo gi ng'iyo e klas e ot.","['As', 'part', 'of', 'improving', 'vocational', 'training', 'college', ',', 'parents', 'are', 'asked', 'to', 'support', 'active', 'class', 'participation', 'at', 'home', '.']","['Kama', 'sehemu', 'ya', 'kuboresha', 'chuo', 'cha', 'mafunzo', 'ya', 'ufundi', ',', 'wazazi', 'wanaombwa', 'kusaidia', 'kushiriki', 'kikamilifu', 'darasani', 'nyumbani', '.']","['Kaka', 'achiel', 'kuom', 'yore', 'mag', 'bero', 'kolej', 'mar', 'puonjruok', 'mar', 'tich', ',', 'jonyuol', 'ikwayo', 'mondo', 'ochung', ""'"", 'ne', 'puonjruok', 'mar', 'bedo', 'gi', 'ng', ""'"", 'iyo', 'e', 'klas', 'e', 'ot', '.']",19,18,30,[],[],False,False,17,16,25,0.9411764705882353,1.4705882352941178,1.5625,False
2512,Governance,He further encouraged the public to be part of the process through reporting any incidences of bribery or corruption through relevant hotlines.,Aliwahimiza zaidi umma kuwa sehemu ya mchakato huo kwa kuripoti matukio yoyote ya rushwa au ufisadi kupitia simu husika za dharura.,Nomedo jiwo oganda mondo oriw lwedo chenro no kuom chiwo ripot e wi timbe mag asoya kod mibadhi ka gitiyo kod nembni mag chwalo ote mag masiche ma apoya.,"['He', 'further', 'encouraged', 'the', 'public', 'to', 'be', 'part', 'of', 'the', 'process', 'through', 'reporting', 'any', 'incidences', 'of', 'bribery', 'or', 'corruption', 'through', 'relevant', 'hotlines', '.']","['Aliwahimiza', 'zaidi', 'umma', 'kuwa', 'sehemu', 'ya', 'mchakato', 'huo', 'kwa', 'kuripoti', 'matukio', 'yoyote', 'ya', 'rushwa', 'au', 'ufisadi', 'kupitia', 'simu', 'husika', 'za', 'dharura', '.']","['Nomedo', 'jiwo', 'oganda', 'mondo', 'oriw', 'lwedo', 'chenro', 'no', 'kuom', 'chiwo', 'ripot', 'e', 'wi', 'timbe', 'mag', 'asoya', 'kod', 'mibadhi', 'ka', 'gitiyo', 'kod', 'nembni', 'mag', 'chwalo', 'ote', 'mag', 'masiche', 'ma', 'apoya', '.']",23,22,30,[],[],False,False,22,21,29,0.9545454545454546,1.3181818181818181,1.380952380952381,False
5020,Governance,"To reduce nepotism in hiring, the county is expanding access to voter registration updates this year.","Ili kupunguza upendeleo katika uajiri, kaunti inapanua upatikanaji wa masasisho ya usajili wa wapiga kura mwaka huu.","Mondo ogeng' ng'anjo mar jowetegi e ng'ado tich, kauntino medo yudo weche manyien mag ndiko nying' jogo ma dhi goyo ombulu e higa ni.","['To', 'reduce', 'nepotism', 'in', 'hiring', ',', 'the', 'county', 'is', 'expanding', 'access', 'to', 'voter', 'registration', 'updates', 'this', 'year', '.']","['Ili', 'kupunguza', 'upendeleo', 'katika', 'uajiri', ',', 'kaunti', 'inapanua', 'upatikanaji', 'wa', 'masasisho', 'ya', 'usajili', 'wa', 'wapiga', 'kura', 'mwaka', 'huu', '.']","['Mondo', 'ogeng', ""'"", 'ng', ""'"", 'anjo', 'mar', 'jowetegi', 'e', 'ng', ""'"", 'ado', 'tich', ',', 'kauntino', 'medo', 'yudo', 'weche', 'manyien', 'mag', 'ndiko', 'nying', ""'"", 'jogo', 'ma', 'dhi', 'goyo', 'ombulu', 'e', 'higa', 'ni', '.']",18,19,32,[],[],False,False,16,17,24,1.0625,1.5,1.411764705882353,False
3728,Agriculture,Combine planting drought-resistant varieties with proper spacing to boost your beans yield.,Changanya kupanda aina zinazostahimili ukame na nafasi sahihi ili kuongeza mavuno ya maharagwe.,Riw pidho yien ma ok nyal geng'o oro kod thuolo mowinjore mondo omed cham mar beans mari.,"['Combine', 'planting', 'drought-resistant', 'varieties', 'with', 'proper', 'spacing', 'to', 'boost', 'your', 'beans', 'yield', '.']","['Changanya', 'kupanda', 'aina', 'zinazostahimili', 'ukame', 'na', 'nafasi', 'sahihi', 'ili', 'kuongeza', 'mavuno', 'ya', 'maharagwe', '.']","['Riw', 'pidho', 'yien', 'ma', 'ok', 'nyal', 'geng', ""'"", 'o', 'oro', 'kod', 'thuolo', 'mowinjore', 'mondo', 'omed', 'cham', 'mar', 'beans', 'mari', '.']",13,14,20,[],[],False,False,12,13,17,1.0833333333333333,1.4166666666666667,1.3076923076923077,False
3398,Agriculture,Keep your goats healthy by monitoring for signs of anthrax.,Weka mbuzi wako na afya kwa kuchunguza dalili za kimeta.,Ket dier mari obed gi ngima maber kuom luwo ranyisi mag tuo mar anthrax.,"['Keep', 'your', 'goats', 'healthy', 'by', 'monitoring', 'for', 'signs', 'of', 'anthrax', '.']","['Weka', 'mbuzi', 'wako', 'na', 'afya', 'kwa', 'kuchunguza', 'dalili', 'za', 'kimeta', '.']","['Ket', 'dier', 'mari', 'obed', 'gi', 'ngima', 'maber', 'kuom', 'luwo', 'ranyisi', 'mag', 'tuo', 'mar', 'anthrax', '.']",11,11,15,[],[],False,False,10,10,14,1.0,1.4,1.4,False
3823,Education,Any case of student unrest should be reported through the official school channel.,Kesi yoyote ya machafuko ya wanafunzi inapaswa kuripotiwa kupitia njia rasmi ya shule.,Kaso moro amora mar ng'anjo mar jopuonjre onego ondiki kokalo kuom chanel mar skul ma owinjore.,"['Any', 'case', 'of', 'student', 'unrest', 'should', 'be', 'reported', 'through', 'the', 'official', 'school', 'channel', '.']","['Kesi', 'yoyote', 'ya', 'machafuko', 'ya', 'wanafunzi', 'inapaswa', 'kuripotiwa', 'kupitia', 'njia', 'rasmi', 'ya', 'shule', '.']","['Kaso', 'moro', 'amora', 'mar', 'ng', ""'"", 'anjo', 'mar', 'jopuonjre', 'onego', 'ondiki', 'kokalo', 'kuom', 'chanel', 'mar', 'skul', 'ma', 'owinjore', '.']",14,14,19,[],[],False,False,13,13,16,1.0,1.2307692307692308,1.2307692307692308,False
4657,Security & Safety,"During disease outbreaks, always keep emergency contacts on hand in case of lightning strikes.","Wakati wa milipuko ya magonjwa, weka nambari za dharura karibu endapo kutakuwa na mapigo ya radi.","E kinde ma tuoche pong'o piny, kinde duto bed gi jogo ma inyalo tudruokgo mapiyo kapo ni mil polo omako.","['During', 'disease', 'outbreaks', ',', 'always', 'keep', 'emergency', 'contacts', 'on', 'hand', 'in', 'case', 'of', 'lightning', 'strikes', '.']","['Wakati', 'wa', 'milipuko', 'ya', 'magonjwa', ',', 'weka', 'nambari', 'za', 'dharura', 'karibu', 'endapo', 'kutakuwa', 'na', 'mapigo', 'ya', 'radi', '.']","['E', 'kinde', 'ma', 'tuoche', 'pong', ""'"", 'o', 'piny', ',', 'kinde', 'duto', 'bed', 'gi', 'jogo', 'ma', 'inyalo', 'tudruokgo', 'mapiyo', 'kapo', 'ni', 'mil', 'polo', 'omako', '.']",16,18,24,[],[],False,False,14,16,20,1.1428571428571428,1.4285714285714286,1.25,False
4558,Security & Safety,Prepare an emergency kit in case of landslides in your area.,Andaa vifaa vya dharura endapo kutakuwa na maporomoko ya ardhi eneo lako.,Inyalo loso gik ma itiyogo e kinde mag masira ka piny otur e alworau.,"['Prepare', 'an', 'emergency', 'kit', 'in', 'case', 'of', 'landslides', 'in', 'your', 'area', '.']","['Andaa', 'vifaa', 'vya', 'dharura', 'endapo', 'kutakuwa', 'na', 'maporomoko', 'ya', 'ardhi', 'eneo', 'lako', '.']","['Inyalo', 'loso', 'gik', 'ma', 'itiyogo', 'e', 'kinde', 'mag', 'masira', 'ka', 'piny', 'otur', 'e', 'alworau', '.']",12,13,15,[],[],False,False,11,12,14,1.0909090909090908,1.2727272727272727,1.1666666666666667,False
