PSA_Id,Domain,English,Kiswahili,Ekegusii,Dholuo,Somali
14,Education,200 Stipendium Hungaricum scholarships open for Kenyan undergraduate students.,Ufadhili wa masomo 200 wa Stipendium Hungaricum umefunguliwa kwa wanafunzi wa shahada ya kwanza wa Kenya.,Omoroberio bweserikari kobwaterana neserikari ya Hungary (Hungaricum scholarships) oigoirwe ase 200 ase baria basomeire edigrii entang'ani bachie gosoma.,Scholarships 200 mag Stipendium Hungaricum oseyawore ne jopuonjre mag Kenya.,200 Stipendium Hungaricum deeq waxbarasho oo u furan ardayda dugsiga hoose ee Kenya.
15,Education,"3,000 new special needs teachers deployed – your child gets support from Jan!","Walimu wapya 3,000 wenye mahitaji maalum waliotumwa ""mtoto wako anapata usaidizi kutoka Jan!","Amabaga amayia 3,000 yabarimu yamaremaru ao ao batomirwe chisukuru, omwana oo nabe okonyore obokonyi gochkera omotieny omtang'ani!","Jopuonj manyien 3,000 ma nigi dwaro makende ne oket e skul. Nyathni yudo kony kowuok kuom Jan!","3,000 oo macallimiin cusub oo baahiyo gaar ah leh ayaa loo adeegsaday. Ilmahaagu wuxuu ka helayaa taageero Jan!"
16,Education,500 schools get free counseling rooms – book session with your principal!,Shule 500 zinapata vyumba vya ushauri nasaha bila malipo na kuweka miadi na mkuu wa shule!,500 schools get free counseling rooms – book session with your principal!,Skunde 500 yudo ute mag konyruok maonge chudo. Dhi ir japuonj maduong' mondo okonyi!,"500 dugsi ayaa helaya qolal la talin oo lacag la'aan ah, kalfadhiga buugaagta ee macalinkaaga!"
17,Education,Access education! Enroll pastoralist children in mobile schools.,Pata elimu! Waandikishe watoto wafugaji katika shule zinazohamishika.,Access education! Enroll pastoralist children in mobile schools.,Bed gi thuolo mar puonjruok! Ket nyithindo ma jokwath obed e skunde mag wuoth.,Waxbarashada helitaanka! Carruurta adhijirka ah ku qor dugsiyada dhaqdhaqaaqa.
18,Education,Access EduTV via Kenya Education Cloud daily.,Fikia EduTV kupitia Kenya Education Cloud kila siku.,Nyora amasomo goetera omoroberio bweserikari (Edu TV) okera rituko,Yud EduTV kokalo kuom Kenya Education Cloud pile.,Helitaanka EduTV iyada oo loo marayo Kenya Education Cloud maalin kasta.
19,Education,Access EduTV via Kenya Education Cloud.,Fikia EduTV kupitia Wingu la Elimu la Kenya.,Nyora amasomo goetera omoroberio bweserikari ya Kenya (Edu TV),Yud EduTV kokalo kuom Kenya Education Cloud.,Helitaanka EduTV adoo adeegsanaya Kenya Education Cloud.
20,Education,Access free resources! Distribute free textbooks to rural schools.,Pata rasilimali za bure! Sambaza vitabu vya kiada vya bure kwa shule za vijijini.,banyorire omoroberio bwokoegwa ebitabu biogosomera chisukuru chiria chire ime mono batari korwa kende,Yudo gik ma itiyogo ma nono! Pogi buge mag somo ma nono ne skul mag gwenge.,Helitaanka kheyraadka bilaashka ah! Buugaag waxbarasho oo bilaash ah u qaybi dugsiyada miyiga.
21,Education,Access KPSEA results from December 1 via school portal.,Pata matokeo ya KPSEA kuanzia Desemba 1 kupitia lango la shule.,abana bechisekenderi chia inse nigo bakonyora amatemwa abo na buna bakorete korwa ase KPSEA korwa omotienyi etariki eyemo yomoyienyi 12 goetera chisukuru chiabo.,Inyalo yudo duoko mag KPSEA chakre Desemba 1 kokalo kuom portal mar skul.,Helitaanka natiijooyinka KPSEA laga bilaabo 1da Diseembar iyada oo loo marayo bogga dugsiga.
22,Education,"Access KPSEA results via school portal from December 1, 2025.","Fikia matokeo ya KPSEA kupitia lango la shule kuanzia Desemba 1, 2025.",Nyora amairanerio yamatemwa PSEA goetra chisuru chiabo korwa etariki eyemo yomotienyi oikomi na kabere 2025.,Yudo duoko mag KPSEA kokalo kuom mbui mar skul chakre tarik 1 dwe mar apar gi ariyo higa mar 2025.,"Helitaanka natiijooyinka KPSEA iyada oo loo marayo bogga dugsiga laga bilaabo Diseembar 1, 2025."
23,Education,Access results from Dec 1 via portal.,Fikia matokeo kuanzia Desemba 1 kupitia lango.,Nyora amairanerio yamatemwa abo korwa etariki entang'ani yomotienyi 12,Yudo duoko chakre tarik 1 dwe mar apar gi ariyo kokalo kuom mbui.,Natiijada helitaanka laga bilaabo 1-da Diseembar iyada oo loo marayo bogga.
24,Education,Access results via school portal from December 1.,Pata matokeo kupitia lango la shule kuanzia Desemba 1.,nkonyora bare amairanerio yamatemwa abo gotera chisukuru chiabo korwa etariki eyemo yomotienyi 12.,Yudo duoko kokalo kuom mbui mar skul chakre tarik 1 dwe mar apar gi ariyo.,Natiijooyinka helitaanka bogga dugsiga laga bilaabo 1-da Diseembar.
25,Education,Accessible legal text for learners and public,Maandishi ya kisheria yanayopatikana kwa urahisi kwa wanafunzi na umma,nyora ebitabu biamachiko ase baria bagosoma amo neamate,Ndiko mag chik manyalo yudore ne jopuonjre kod oganda,Qoraalka sharciga ah ee loo heli karo ardayda iyo dadweynaha
26,Education,"Act now! Communities, prevent FGM to protect girls.","Chukua hatua sasa! Jamii, zuia ukeketaji ili kuwalinda wasichana.",bogoria egetambokero bono! konya gotanga ogsara abana abanyaroka erio kobarenda,"Kaw okang' sani! jodak duto, geng'uru nyang'e mar joma nyiri mondo uritgi.","Bulshooyinka, ka hortagga FGM si aad u ilaaliso gabdhaha."
27,Education,Adult education centers reopen January 13 – register free at any public primary school.,Vituo vya elimu ya watu wazima vitafunguliwa tena Januari 13 jiandikishe bure katika shule yoyote ya msingi ya umma.,Chisemi chia abanto abanene nchigorwe omotienyi omotang'ani – register free at any public primary school.,Skunde mag joma dongo chako tiyo kendo Januar 13. Inyalo donjo maonge chudo e skul moro amora mar piny mar praimari.,Xarumaha waxbarashada dadka waaweyn ayaa dib u furmaya 13-ka Janaayo si bilaash ah loogu diiwaangeliyo dugsiyada hoose ee dowladda.
28,Education,Adult literacy classes resume Jan 13 – register free at chief's office now!,Madarasa ya kusoma na kuandika ya watu wazima yataanza tena Januari 13 jiandikishe bure katika ofisi ya mkuu wa shule sasa!,"Chisemi chia abanto abanene nchigorwe omotienyi omotang'ani chitariki 13, erike bosa ase ofisi yomogambi bono!",Puonjruok ndiko gi ndiko mar joma dongo dhi nyime Januar 13 donj e ofis maduong' maonge chudo!,Fasalka akhriska dadka waaweyn wuxuu bilaabmayaa 13-ka Janaayo. Isdiiwaangelinta waa lacag la'aan xafiiska madaxa hadda!
29,Education,All belong! Enroll refugee children in schools today.,Wote ni wa lazima! Waandikishe watoto wakimbizi shuleni leo.,bonsi nabanyene! Beka abana babaria batamire chisegi sobo esukuru rero,Giduto gin magwa! Ndik nyithindo moringo thuchegi e skundegi kawuono.,"Dhammaantood waa kuwo iska leh, caruurta qaxootiga ah maanta iskuulada ku qor."
30,Education,"All boarding schools must conduct safety audit by September 30, 2025.","Shule zote za bweni lazima zifanye ukaguzi wa usalama ifikapo Septemba 30, 2025.",Chisukuru chionsi abana bakorara ime nere buya nemeroberio yogotanga ogwateka kwemerero as chisukuru chiabo nomoroberio bwokominchoria ekero omorero bwatekire goika omotienyi okianda chitariki 30.2025,"Skunde duto ma nigi kar nindo nyaka tim nonro mar ritruok kapok Septemba 30, 2025.",Dhammaan iskuulada joogtada ah waa inay sameeyaan tijaabooyinka badbaadada 30-ka Sebtember 2025.
31,Education,All boarding schools must install fire alarms + sprinklers by Jan 6 – CS orders!,Shule zote za bweni lazima ziweke kengele za moto + vinyunyizio ifikapo Januari 6 - maagizo ya CS!,Chisukuru chiria chionsi abana bamenyete ime goika babeke ebonto bikorwa ogokurerwa ekero omorero bwatekire nebuinto biria bigosiarera amache korimia emerero. Omomonisita bwechisemi orure ogochika!,Skunde duto ma nigi boarding nyaka ti gi gik makwedo mach kod gik ma thiro pi kapok ochopo tarik 6 Januar kaluwore gi chike mag CS!,Dhammaan dugsiyada xanaanada ah waa in ay rakibtaan digniino dab-damis ah + waraabiyeyaal marka la gaaro 6-da Janaayo amarka CS!
32,Education,All can learn! Use braille and ramps for disabled students.,Wote wanaweza kujifunza! Tumia braille na ramps kwa wanafunzi walemavu.,bonsi nabo barasome!Tumia ebitabu biria biemeuko and nebinto birai biogwerirera ase abana bari bare noborema bwogotara,Ji duto nyalo puonjore! Ti gi Braille kod kuonde ma nyithindo nyalo kaloe.,Dhammaantood way baran karaan! Isticmaal qoraalka Braille-ka iyo roogaha loogu talagalay ardayda naafada ah.
33,Education,All dormitories must have emergency exits – inspection starts Dec 1!,Bwenzi wote lazima wawe na njia za dharura za kutokea - ukaguzi unaanza Desemba 1!,"chinyomba chiokorara chionsi goika chibe nemerangu ya nyuma gogotamera ekero kiobong'u, omoroberio korora ng'a ayio aikeranigwe nochake etariki eyemo omotienyi 12",Od nindo duto nyaka bed gi dhoudi mag geng'o masira chakre Desemba 1!,Dhammaan qolka hoyga waa in ay leeyihiin albaabada degdegga ah. Kormeerka wuxuu bilaabmayaa 1-da Diseembar!
34,Education,All Form 3 students must register as voters this week – no excuses!,Wanafunzi wote wa kidato cha 3 lazima wajiandikishe kama wapiga kura wiki hii - hakuna visingizio!,abana besecondari bafomu 3 goika berike buna abaaki chikura ewiki eye getamero getaiyo,Jopuonjre duto mag Form 3 nyaka ndik nyingegi e list mar joma biro yiero e juma ma kawuononi onge ng'at ma biro ng'wononegi!,Dhamaan ardayda fasalka 3aad waa in ay isdiiwaangaliyaan sida codbixiyayaasha todobaadkan.
35,Education,All Form Four students must register as voters before leaving school – IEBC directive.,Wanafunzi wote wa kidato cha nne lazima wajiandikishe kama wapiga kura kabla ya kuondoka shuleni - maagizo ya IEBC.,Abana besekondari bekerasi kia inye goika babe berikire koba abbaki chikura batrarua esukuru,Jopuonjre duto mag klas ang'wen nyaka ndik nyinggi e list mar joma biro yiero kapok giwuok e skul kaluwore gi chik mar IEBC.,Dhammaan ardayda fasalka afraad waa in ay iska diiwaangeliyaan codbixiyayaasha ka hor inta aysan ka bixin dugsiga.
36,Education,All Grade 6 learners automatically placed in junior secondary – no exam needed.,"Wanafunzi wote wa Darasa la 6 huwekwa kiotomatiki katika shule ya upili ya junior ""hakuna mtihani unaohitajika.""","Abana bonsi begeredi gia 6 goika basoe esekenderi ya inse, matemwa tari araganigwe .",Jopuonjre duto mag klas mar auchiel ne iketo e sekondari mar sekondari maonge penj madwarore.,Dhamaan ardayda fasalka 6aad waxaa si toos ah loogu dhigaa dugsiga dhexe ee hoose iyada oo aan loo baahnayn imtixaan.
37,Education,All public university students to get free data bundles for e-learning – Safaricom partners.,"Wanafunzi wote wa vyuo vikuu vya umma watapata vifurushi vya data bila malipo kwa ajili ya kujifunza mtandaoni ""Washirika wa Safaricom.""",Abana bonsi bechiyufasiti chieserikari banyore chibandoro chia bosa gokonya amasomo abo goetera etekinorochia,Jopuonjre duto mag yunivasiti mag sirkal mondo oyud data maonge chudo mar e-puonjruok ma jo Safaricom timo.,Dhammaan ardayda jaamacadaha dadweynaha si ay u helaan xogta lacag la'aanta ah ee loogu talagalay barashada elektaroonigga ah waa wada-hawlgalayaasha Safaricom.
38,Education,All refugee children in Kenya to join public schools from January – no fees.,"Watoto wote wakimbizi nchini Kenya watajiunga na shule za umma kuanzia Januari ""hakuna ada.""","Abana binsi ba baria batamete chinse chiabo aiga Kenya basoe chisukuru chiserikari gochakera omotienyi omoyia, kende getari goakanwa.",Nyithindo duto moringo thuchegi e Kenya mondo odonj e skunde mag sirkal chakre Januar maonge chudo.,Dhamaan caruurta qaxootiga ah ee Kenya si ay u galaan dugsiyada dadweynaha laga bilaabo Janaayo waa lacag la'aan.
39,Education,All registered candidates must appear in the attendance register.,Watahiniwa wote waliosajiliwa lazima waonekane kwenye rejista ya mahudhurio.,abana bariria bonsi bagochi gokora amatemwa goika barorekane ase egetabu,Jogo duto mosedonjo e skundno nyaka ndik nyingegi e kalatas manyiso kwan mar joma osedhi e skundno.,Dhamaan musharixiinta diiwaangashan waa inay ka muuqdaan diiwaanka ka qaybgalka.
40,Education,All schools get Ksh 10M for ICT upgrade – principal must apply by Nov 30!,"Shule zote zitapokea Ksh 10M kwa ajili ya kuboresha ICT ""Mkuu wa shule lazima aombe ifikapo Novemba 30!",chisukuru chionsi nkonyora chire chimirioni 10 ase ogoikerania yoboererania bwamang'ana abarimu abanene goika babe batomire ogosaba nyuma yechitariki 30 chiomotienyi 11!,Skunde duto yudo Ksh 10M mar medo lony e yore mag ICT.,Dhamaan dugsiyada hela Ksh 10M ee kor u qaadista ICT waa in ay codsadaan 30 November!
41,Education,All schools get Ksh 15M for library upgrade – apply before Dec 15!,Shule zote zinapata Ksh 15M kwa ajili ya uboreshaji wa maktaba ... Shule zote zinaweka CCTV + kuajiri walinzi ifikapo Desemba 31 – Maagizo ya Wizara au kufungwa kwa uso!,"Chisukuru chionsi chinyore chimirioni 15, okorosia chinyomba chiebitabu, toma ogosaba kwa nyuma yechitariki 15 chiomotienyi 12!","Skunde duto yudo Ksh 15M mar medo kuonde somo e laibrari, timuru kamano kapok Desemba 15 ochopo!",Dugsiyada oo dhami waxay helayaan Ksh 15M si ay u cusbooneysiiyaan maktabadda. Codso ka hor 15-ka Diseembar!
42,Education,All schools get Ksh 2M digital lab grant – principal must apply by Friday.,Shule zote zapata ruzuku ya maabara ya kidijitali ya Ksh 2M – mkuu wa shule lazima aombe ifikapo Ijumaa.,"chisukuru chionsi nkonyora chire ogokonywa gwechimirioni 2 chikoagacha chinyomba chigedichitari, toma ogosaba kwogokonywa okwo nyuma yechitariki 15 omotienyi 12",Skunde duto biro yudo Ksh 2M mar kony mar lab dijitol.,Dhammaan dugsiyada helitaanka deeqaha Ksh 2M digital lab waa in ay codsadaan ilaa Jimcaha.
43,Education,All schools get Ksh 5M for perimeter wall + gate – works start Jan!,Shule zote zapata Ksh 5M kwa ajili ya ukuta wa mzunguko + lango – kazi zinaanza Januari!,"chisukuru chionsi nkonyora chire chimirioni 5 ase okoagacha chindwaki nebiita, emermo eye nigo erachake omotienyi omotang'ani",Skunde duto yudo Ksh 5M mar gero ohinga kod rangach chakre Jan!,Dugsiyada oo dhami waxay helayaan Ksh 5M darbiga xuduudda + iridda. Shaqooyinka ayaa bilaabanaya Jan!
44,Education,All schools get Ksh 5M for science lab upgrade – apply before Dec 5!,Shule zote zapata Ksh 5M kwa ajili ya uboreshaji wa maabara ya sayansi – tuma maombi kabla ya Desemba 5!,"chisukuru chionsi nkonyora chire chimirioni 5 ase okoagacha chinyomba chiobosayansi, toma ogosaba kwao nyuma yechitariki 5 chiomotienyi 12",Skunde duto yudo Ksh 5M mar medo lony mar lab mar sayans. Tiuru kapok Desemba 5!,Dugsiyada oo dhami waxay helayaan Ksh 5M si ay u cusbooneysiiyaan shaybaarka sayniska waxay codsan karaan ka hor 5-ta Diseembar!
45,Education,All schools install CCTV + hire guards by Dec 31 – Ministry directive or face closure!,Shule zote zaweka CCTV + kuajiri walinzi ifikapo Desemba 31 – Maagizo ya Wizara au tutalazimika kufungwa!,"Chisukueru chionsi goika chibe chiabekire ebinto bikomongera amang'ana (CCTV) na korika abarendi nyuma yechitariki 30 chiomotienyi 12, Omominisita bwechisemi orure ochika onye tari bo chisukuru echio chisiekwe!","Skunde duto onego oket kamera mag CCTV + kendo gikaw jorit e kind Desemba 31 kaluwore gi chik mar Migawo mar somo, ka ok kamano to ibiro loro skundegi!",Dugsiyada oo dhami waxay rakibayaan CCTV + waxay shaqaaleysiiyaan ilaalada 31-ka Diseembar marka laga reebo tilmaamaha Wasaaradda ama waa la xiraa!
46,Education,All schools must conduct fire drill before Dec 20 – no excuses!,"Shule zote lazima zifanye mazoezi ya kuzima moto kabla ya Desemba 20 ""hakuna visingizio!"" Hakuna visingizio!",chisukuru chionsi goika chibe chiabekire emeroberio emiya yogotanga ogwateka kwemerero nyuma yechitariki 20 chiomotienyi 12,Skunde duto nyaka tim ikruok ne masira mar mach kapok Desemba 20 ochopo.,Dugsiyada oo dhan waa inay qabtaan tababarka dab-damiska ka hor 20-ka Diseembar.
47,Education,All schools must have functional GBV reporting desk – inspection starts Dec 1!,"Shule zote lazima ziwe na dawati linalofanya kazi la kuripoti GBV ""ukaguzi unaanza Desemba 1!","Chisukuru chionsi goika chibe chiabekire omoroberio bwokomanyia igoro yogokorerwa aase engencho or3 omokungu gose omosacha, omoroberio bwokorora nga aya aikeranigwe ngochaka ore etariki 1 yomotieny 12!",Skunde duto nyaka bed gi kuonde ma ji nyalo ndikoe weche mag timbe gero mag nindruok chakre Desemba 1!,Dugsiyada oo dhan waa in ay lahaadaan xafiis shaqo oo warbixinta GBV ah. Kormeerka wuxuu bilaabmayaa 1-da Diseembar!
48,Education,All schools must screen for TB before reopening – free testing starts Monday!,"Shule zote lazima zichunguzwe kwa TB kabla ya kufungua tena ""upimaji wa bure"" unaanza Jumatatu!","Chisukuru chionsi goika chirenge abana igoro yegekuba ekenene chitaraigora, okorenga kwabosa ngochaka kore etuich rimo!",Skunde duto nyaka tim nonro mar TB kapok ochak timo nonro maonge chudo chakre Tich Ariyo!,Dugsiyada oo dhan waa in ay baaritaan ku sameeyaan cudurka TB ka hor inta aysan dib u furmin baaritaanka bilaashka ah wuxuu bilaabmayaa Isniinta!
49,Education,All teachers get free medical cover upgrade – NHIF to full package Jan 1!,"Walimu wote wanapata uboreshaji wa bima ya matibabu bila malipo ""NHIF"" hadi kifurushi kamili Januari 1!",abarimu bonsi banyore okomentwa gwechibesa chiobobwenia bwa NHIF chionsi amo nyuma yetariki eyemo yomotienyi bweritangani,Jopuonje duto yudo thieth maonge chudo NHIF biro medore e paket duto Jan 1!,Macalimiinta oo dhan waxay helayaan lacag la'aan kor u qaadista caymiska caafimaad ee NHIF ilaa xirmada buuxda Janaayo 1!
50,Education,All TTC students must complete civic education module before graduation – KICD directive.,"Wanafunzi wote wa TTC lazima wamalize moduli ya elimu ya uraia kabla ya kuhitimu ""agizo la KICD"".","Abarimu baria bagosomera obwarimu goika babe bakorire amasomo yobogesaku nyuma batakora korwa chikorechi chiabo, ogochika korwa KICD.",Jopuonjre duto mag TTC nyaka tiek somo mar somo mar dak mar oganda kapok gi tieko tiegruok.,Dhamaan ardayda TTC waa inay dhammeeyaan koorsada waxbarashada rayidka ah ka hor inta aysan qalinjabin tilmaamaha KICD.
51,Education,All TVET graduates guaranteed 6-month paid internship from January 2026.,Wahitimu wote wa TVET wamehakikishiwa mafunzo ya muda ya miezi 6 yanayolipiwa kuanzia Januari 2026.,Abarimu baria bakorire amasomo yobobundi nechisemi chiokwegendereria baenekeriigwe konyora omosara bwemetienyi 6 yechingaki chiokwegera gosomia gochakera omotienyi bweritang'ani 2026.,Jopuonjre duto ma osetieko tiegruok e weche mag tiegruok kod tiegruok e yore mag teknoloji biro yudo chudo mar dweche auchiel mar internship kochakore Januar 2026.,Dhammaan shahaadada ka qalin jabisay TVET waxay dammaanad qaadeen 6-bilood oo shahaadooyin mushahar leh laga bilaabo Janaayo 2026.
52,Education,"All TVET students get Ksh 10,000 monthly stipend + free laptop from Jan!","Wanafunzi wote wa TVET wanapata posho ya Ksh 10,000 ya kila mwezi + kompyuta mpakato bila malipo kuanzia Januari!","abarimu bonsi besekenderi yanse bagosomia obobundi nechisemi chiokwendereria (TVET) banyore chisiringi 10,000 kera omotienyi chiogwekonyera amo nechikombiuta chia koboko nyuma yomotienyi omotang'ani","Jopuonjre duto mag TVET yudo Ksh 10,000 dwe ka dwe + laptop ma onge chudo koa kuom Jan!","Dhamaan ardayda TVET waxay ka helayaan Ksh 10,000 oo mushahar bille ah + laptop bilaash ah Jan!"
