PSA_Id,Domain,Class,English,Kiswahili,Dholuo,Fact_Source,Source
25,Health,General,"For more information, visit your nearest county office regarding the Social Health Authority (SHA) registration for universal health coverage.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.",,h01,grounded_generated
26,Health,General,"For more information, visit your nearest county office regarding the Linda Mama programme providing free maternity care at public health facilities.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.",,h02,grounded_generated
27,Health,General,"For more information, visit your nearest county office regarding routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).",,h03,grounded_generated
28,Health,General,"For more information, visit your nearest county office regarding free tuberculosis (TB) diagnosis and treatment at public health facilities.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.",,h04,grounded_generated
29,Health,General,"For more information, visit your nearest county office regarding distribution of long-lasting insecticidal mosquito nets to prevent malaria.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.",,h05,grounded_generated
30,Health,General,"For more information, visit your nearest county office regarding HPV vaccination for adolescent girls to prevent cervical cancer.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.",,h06,grounded_generated
31,Health,General,"For more information, visit your nearest county office regarding community health promoters (CHPs) offering household health education and referrals.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.",,h07,grounded_generated
32,Health,General,"For more information, visit your nearest county office regarding free HIV testing and counselling services at public health facilities.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.",,h08,grounded_generated
33,Health,General,"For more information, visit your nearest county office regarding screening for non-communicable diseases such as diabetes and hypertension.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.",,h09,grounded_generated
34,Health,General,"For more information, visit your nearest county office regarding mental health support services under the national mental health action plan.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.",,h10,grounded_generated
35,Health,General,"For more information, visit your nearest county office regarding child growth monitoring and Vitamin A supplementation during Malezi Bora week.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.",,h11,grounded_generated
36,Health,General,"For more information, visit your nearest county office regarding family planning services available free of charge at public clinics.","Kwa maelezo zaidi, tembelea ofisi ya kaunti ya karibu kuhusu huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.",,h12,grounded_generated
37,Health,General,Take advantage of the Social Health Authority (SHA) registration for universal health coverage available to eligible residents.,Nufaika na usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote inayopatikana kwa wakazi wanaostahili.,,h01,grounded_generated
38,Health,General,Take advantage of the Linda Mama programme providing free maternity care at public health facilities available to eligible residents.,Nufaika na mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma inayopatikana kwa wakazi wanaostahili.,,h02,grounded_generated
39,Health,General,Take advantage of routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) available to eligible residents.,Nufaika na chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) inayopatikana kwa wakazi wanaostahili.,,h03,grounded_generated
40,Health,General,Take advantage of free tuberculosis (TB) diagnosis and treatment at public health facilities available to eligible residents.,Nufaika na uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma inayopatikana kwa wakazi wanaostahili.,,h04,grounded_generated
41,Health,General,Take advantage of distribution of long-lasting insecticidal mosquito nets to prevent malaria available to eligible residents.,Nufaika na usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria inayopatikana kwa wakazi wanaostahili.,,h05,grounded_generated
42,Health,General,Take advantage of HPV vaccination for adolescent girls to prevent cervical cancer available to eligible residents.,Nufaika na chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi inayopatikana kwa wakazi wanaostahili.,,h06,grounded_generated
43,Health,General,Take advantage of community health promoters (CHPs) offering household health education and referrals available to eligible residents.,Nufaika na wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani inayopatikana kwa wakazi wanaostahili.,,h07,grounded_generated
44,Health,General,Take advantage of free HIV testing and counselling services at public health facilities available to eligible residents.,Nufaika na huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma inayopatikana kwa wakazi wanaostahili.,,h08,grounded_generated
45,Health,General,Take advantage of screening for non-communicable diseases such as diabetes and hypertension available to eligible residents.,Nufaika na uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu inayopatikana kwa wakazi wanaostahili.,,h09,grounded_generated
46,Health,General,Take advantage of mental health support services under the national mental health action plan available to eligible residents.,Nufaika na huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili inayopatikana kwa wakazi wanaostahili.,,h10,grounded_generated
47,Health,General,Take advantage of child growth monitoring and Vitamin A supplementation during Malezi Bora week available to eligible residents.,Nufaika na ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora inayopatikana kwa wakazi wanaostahili.,,h11,grounded_generated
48,Health,General,Take advantage of family planning services available free of charge at public clinics available to eligible residents.,Nufaika na huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma inayopatikana kwa wakazi wanaostahili.,,h12,grounded_generated
49,Health,General,Officials remind the public about the Social Health Authority (SHA) registration for universal health coverage.,Maafisa wanakumbusha umma kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.,,h01,grounded_generated
50,Health,General,Officials remind the public about the Linda Mama programme providing free maternity care at public health facilities.,Maafisa wanakumbusha umma kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,,h02,grounded_generated
51,Health,General,Officials remind the public about routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Maafisa wanakumbusha umma kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,,h03,grounded_generated
52,Health,General,Officials remind the public about free tuberculosis (TB) diagnosis and treatment at public health facilities.,Maafisa wanakumbusha umma kuhusu uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,,h04,grounded_generated
53,Health,General,Officials remind the public about distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Maafisa wanakumbusha umma kuhusu usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h05,grounded_generated
54,Health,General,Officials remind the public about HPV vaccination for adolescent girls to prevent cervical cancer.,Maafisa wanakumbusha umma kuhusu chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h06,grounded_generated
55,Health,General,Officials remind the public about community health promoters (CHPs) offering household health education and referrals.,Maafisa wanakumbusha umma kuhusu wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h07,grounded_generated
56,Health,General,Officials remind the public about free HIV testing and counselling services at public health facilities.,Maafisa wanakumbusha umma kuhusu huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h08,grounded_generated
57,Health,General,Officials remind the public about screening for non-communicable diseases such as diabetes and hypertension.,Maafisa wanakumbusha umma kuhusu uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h09,grounded_generated
58,Health,General,Officials remind the public about mental health support services under the national mental health action plan.,Maafisa wanakumbusha umma kuhusu huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h10,grounded_generated
59,Health,General,Officials remind the public about child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Maafisa wanakumbusha umma kuhusu ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h11,grounded_generated
60,Health,General,Officials remind the public about family planning services available free of charge at public clinics.,Maafisa wanakumbusha umma kuhusu huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h12,grounded_generated
61,Health,General,Eligible members of the public should follow up on the Social Health Authority (SHA) registration for universal health coverage.,Wanachama wa umma wanaostahili wanapaswa kufuatilia usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.,,h01,grounded_generated
62,Health,General,Eligible members of the public should follow up on the Linda Mama programme providing free maternity care at public health facilities.,Wanachama wa umma wanaostahili wanapaswa kufuatilia mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,,h02,grounded_generated
63,Health,General,Eligible members of the public should follow up on routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Wanachama wa umma wanaostahili wanapaswa kufuatilia chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,,h03,grounded_generated
64,Health,General,Eligible members of the public should follow up on free tuberculosis (TB) diagnosis and treatment at public health facilities.,Wanachama wa umma wanaostahili wanapaswa kufuatilia uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,,h04,grounded_generated
65,Health,General,Eligible members of the public should follow up on distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Wanachama wa umma wanaostahili wanapaswa kufuatilia usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h05,grounded_generated
66,Health,General,Eligible members of the public should follow up on HPV vaccination for adolescent girls to prevent cervical cancer.,Wanachama wa umma wanaostahili wanapaswa kufuatilia chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h06,grounded_generated
67,Health,General,Eligible members of the public should follow up on community health promoters (CHPs) offering household health education and referrals.,Wanachama wa umma wanaostahili wanapaswa kufuatilia wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h07,grounded_generated
68,Health,General,Eligible members of the public should follow up on free HIV testing and counselling services at public health facilities.,Wanachama wa umma wanaostahili wanapaswa kufuatilia huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h08,grounded_generated
69,Health,General,Eligible members of the public should follow up on screening for non-communicable diseases such as diabetes and hypertension.,Wanachama wa umma wanaostahili wanapaswa kufuatilia uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h09,grounded_generated
70,Health,General,Eligible members of the public should follow up on mental health support services under the national mental health action plan.,Wanachama wa umma wanaostahili wanapaswa kufuatilia huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h10,grounded_generated
71,Health,General,Eligible members of the public should follow up on child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Wanachama wa umma wanaostahili wanapaswa kufuatilia ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h11,grounded_generated
72,Health,General,Eligible members of the public should follow up on family planning services available free of charge at public clinics.,Wanachama wa umma wanaostahili wanapaswa kufuatilia huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h12,grounded_generated
73,Health,General,Don't miss out — the Social Health Authority (SHA) registration for universal health coverage is now open to the public.,Usikose — usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote sasa iko wazi kwa umma.,,h01,grounded_generated
74,Health,General,Don't miss out — the Linda Mama programme providing free maternity care at public health facilities is now open to the public.,Usikose — mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma sasa iko wazi kwa umma.,,h02,grounded_generated
75,Health,General,Don't miss out — routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI) is now open to the public.,Usikose — chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI) sasa iko wazi kwa umma.,,h03,grounded_generated
76,Health,General,Don't miss out — free tuberculosis (TB) diagnosis and treatment at public health facilities is now open to the public.,Usikose — uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma sasa iko wazi kwa umma.,,h04,grounded_generated
77,Health,General,Don't miss out — distribution of long-lasting insecticidal mosquito nets to prevent malaria is now open to the public.,Usikose — usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria sasa iko wazi kwa umma.,,h05,grounded_generated
78,Health,General,Don't miss out — HPV vaccination for adolescent girls to prevent cervical cancer is now open to the public.,Usikose — chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi sasa iko wazi kwa umma.,,h06,grounded_generated
79,Health,General,Don't miss out — community health promoters (CHPs) offering household health education and referrals is now open to the public.,Usikose — wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani sasa iko wazi kwa umma.,,h07,grounded_generated
80,Health,General,Don't miss out — free HIV testing and counselling services at public health facilities is now open to the public.,Usikose — huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma sasa iko wazi kwa umma.,,h08,grounded_generated
81,Health,General,Don't miss out — screening for non-communicable diseases such as diabetes and hypertension is now open to the public.,Usikose — uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu sasa iko wazi kwa umma.,,h09,grounded_generated
82,Health,General,Don't miss out — mental health support services under the national mental health action plan is now open to the public.,Usikose — huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili sasa iko wazi kwa umma.,,h10,grounded_generated
83,Health,General,Don't miss out — child growth monitoring and Vitamin A supplementation during Malezi Bora week is now open to the public.,Usikose — ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora sasa iko wazi kwa umma.,,h11,grounded_generated
84,Health,General,Don't miss out — family planning services available free of charge at public clinics is now open to the public.,Usikose — huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma sasa iko wazi kwa umma.,,h12,grounded_generated
85,Health,General,This week's public notice concerns the Social Health Authority (SHA) registration for universal health coverage.,Tangazo la wiki hii linahusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.,,h01,grounded_generated
86,Health,General,This week's public notice concerns the Linda Mama programme providing free maternity care at public health facilities.,Tangazo la wiki hii linahusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,,h02,grounded_generated
87,Health,General,This week's public notice concerns routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Tangazo la wiki hii linahusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,,h03,grounded_generated
88,Health,General,This week's public notice concerns free tuberculosis (TB) diagnosis and treatment at public health facilities.,Tangazo la wiki hii linahusu uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,,h04,grounded_generated
89,Health,General,This week's public notice concerns distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Tangazo la wiki hii linahusu usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h05,grounded_generated
90,Health,General,This week's public notice concerns HPV vaccination for adolescent girls to prevent cervical cancer.,Tangazo la wiki hii linahusu chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h06,grounded_generated
91,Health,General,This week's public notice concerns community health promoters (CHPs) offering household health education and referrals.,Tangazo la wiki hii linahusu wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h07,grounded_generated
92,Health,General,This week's public notice concerns free HIV testing and counselling services at public health facilities.,Tangazo la wiki hii linahusu huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h08,grounded_generated
93,Health,General,This week's public notice concerns screening for non-communicable diseases such as diabetes and hypertension.,Tangazo la wiki hii linahusu uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h09,grounded_generated
94,Health,General,This week's public notice concerns mental health support services under the national mental health action plan.,Tangazo la wiki hii linahusu huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h10,grounded_generated
95,Health,General,This week's public notice concerns child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Tangazo la wiki hii linahusu ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h11,grounded_generated
96,Health,General,This week's public notice concerns family planning services available free of charge at public clinics.,Tangazo la wiki hii linahusu huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h12,grounded_generated
97,Health,General,Anyone affected should reach out regarding the Social Health Authority (SHA) registration for universal health coverage.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.,,h01,grounded_generated
98,Health,General,Anyone affected should reach out regarding the Linda Mama programme providing free maternity care at public health facilities.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,,h02,grounded_generated
99,Health,General,Anyone affected should reach out regarding routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,,h03,grounded_generated
100,Health,General,Anyone affected should reach out regarding free tuberculosis (TB) diagnosis and treatment at public health facilities.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,,h04,grounded_generated
101,Health,General,Anyone affected should reach out regarding distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h05,grounded_generated
102,Health,General,Anyone affected should reach out regarding HPV vaccination for adolescent girls to prevent cervical cancer.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h06,grounded_generated
103,Health,General,Anyone affected should reach out regarding community health promoters (CHPs) offering household health education and referrals.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h07,grounded_generated
104,Health,General,Anyone affected should reach out regarding free HIV testing and counselling services at public health facilities.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h08,grounded_generated
105,Health,General,Anyone affected should reach out regarding screening for non-communicable diseases such as diabetes and hypertension.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h09,grounded_generated
106,Health,General,Anyone affected should reach out regarding mental health support services under the national mental health action plan.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu huduma za usaidizi wa afya ya akili chini ya mpango wa kitaifa wa afya ya akili.,,h10,grounded_generated
107,Health,General,Anyone affected should reach out regarding child growth monitoring and Vitamin A supplementation during Malezi Bora week.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu ufuatiliaji wa ukuaji wa mtoto na virutubisho vya Vitamini A wakati wa wiki ya Malezi Bora.,,h11,grounded_generated
108,Health,General,Anyone affected should reach out regarding family planning services available free of charge at public clinics.,Yeyote aliyeathirika anapaswa kuwasiliana kuhusu huduma za uzazi wa mpango zinazopatikana bure katika kliniki za umma.,,h12,grounded_generated
109,Health,General,The relevant authority has issued an update on the Social Health Authority (SHA) registration for universal health coverage.,Mamlaka husika imetoa taarifa kuhusu usajili wa Mamlaka ya Afya ya Jamii (SHA) kwa bima ya afya kwa wote.,,h01,grounded_generated
110,Health,General,The relevant authority has issued an update on the Linda Mama programme providing free maternity care at public health facilities.,Mamlaka husika imetoa taarifa kuhusu mpango wa Linda Mama unaotoa huduma za uzazi bila malipo katika vituo vya afya vya umma.,,h02,grounded_generated
111,Health,General,The relevant authority has issued an update on routine childhood immunization under the Kenya Expanded Programme on Immunization (KEPI).,Mamlaka husika imetoa taarifa kuhusu chanjo za kawaida za watoto chini ya Mpango wa Kenya wa Chanjo (KEPI).,,h03,grounded_generated
112,Health,General,The relevant authority has issued an update on free tuberculosis (TB) diagnosis and treatment at public health facilities.,Mamlaka husika imetoa taarifa kuhusu uchunguzi na matibabu ya kifua kikuu (TB) bila malipo katika vituo vya afya vya umma.,,h04,grounded_generated
113,Health,General,The relevant authority has issued an update on distribution of long-lasting insecticidal mosquito nets to prevent malaria.,Mamlaka husika imetoa taarifa kuhusu usambazaji wa vyandarua vinavyodumu kwa muda mrefu kuzuia malaria.,,h05,grounded_generated
114,Health,General,The relevant authority has issued an update on HPV vaccination for adolescent girls to prevent cervical cancer.,Mamlaka husika imetoa taarifa kuhusu chanjo ya HPV kwa wasichana balehe kuzuia saratani ya shingo ya kizazi.,,h06,grounded_generated
115,Health,General,The relevant authority has issued an update on community health promoters (CHPs) offering household health education and referrals.,Mamlaka husika imetoa taarifa kuhusu wahamasishaji wa afya ya jamii (CHP) wanaotoa elimu ya afya na rufaa nyumbani.,,h07,grounded_generated
116,Health,General,The relevant authority has issued an update on free HIV testing and counselling services at public health facilities.,Mamlaka husika imetoa taarifa kuhusu huduma za bure za upimaji na ushauri wa VVU katika vituo vya afya vya umma.,,h08,grounded_generated
117,Health,General,The relevant authority has issued an update on screening for non-communicable diseases such as diabetes and hypertension.,Mamlaka husika imetoa taarifa kuhusu uchunguzi wa magonjwa yasiyoambukiza kama kisukari na shinikizo la damu.,,h09,grounded_generated
